Center,A,B,C,D
365.92981,2299,2983,1381,1865
375.59399,2404,2795,1787,1954
385.26254,2576,2793,1896,2051
394.93552,2679,2958,1957,2150
404.61288,2719,3016,2005,2200
414.29462,2932,3289,2174,2341
423.98077,3048,3444,2267,2454
433.6713,3070,3491,2253,2483
443.36621,3104,3540,2237,2463
453.06552,3103,3570,2209,2457
462.7692,3120,3594,2216,2454
472.47729,3111,3586,2182,2431
482.18976,3100,3582,2164,2412
491.90665,3089,3588,2158,2402
501.6279,3112,3623,2168,2414
511.35355,3153,3656,2188,2451
521.08356,3184,3712,2219,2489
530.81799,3238,3772,2257,2539
540.55682,3300,3837,2305,2598
550.30005,3365,3898,2348,2654
560.04767,3448,3957,2405,2693
569.79962,3528,4001,2449,2727
579.55603,3613,4066,2499,2774
589.31677,3691,4111,2552,2816
599.08191,3761,4156,2609,2841
608.8515,3836,4198,2656,2880
618.62543,3891,4242,2689,2905
628.40375,3938,4283,2725,2929
638.18646,3982,4321,2756,2949
647.97357,4011,4359,2791,2970
657.76508,4050,4377,2815,2988
667.56097,4079,4382,2831,2993
654.7923,4122,4448,2869,3011
664.59937,4137,4465,2895,3027
674.40125,4176,4489,2919,3056
684.19794,4210,4505,2951,3064
693.98938,4236,4529,2988,3093
703.77563,4273,4552,3034,3129
713.55664,4292,4562,3065,3153
723.33252,4339,4592,3107,3183
733.10309,4364,4613,3135,3206
742.86853,4369,4623,3155,3226
752.62872,4390,4645,3165,3239
762.38373,4403,4659,3180,3259
772.13348,4413,4676,3188,3269
781.87805,4416,4704,3192,3282
791.61743,4417,4708,3189,3281
801.35156,4425,4727,3180,3297
811.08051,4423,4741,3184,3292
820.80426,4426,4761,3176,3290
830.52277,4438,4768,3171,3295
840.23608,4438,4775,3166,3280
849.94415,4439,4793,3161,3288
859.64709,4456,4805,3173,3279
869.34479,4437,4810,3165,3279
879.03723,4448,4808,3173,3277
888.72449,4482,4856,3182,3304
898.40656,4519,4894,3215,3315
908.08337,4536,4900,3210,3319
917.75507,4563,4938,3226,3348
927.42145,4621,4987,3256,3349
937.0827,4665,5026,3257,3369
946.73871,4656,5017,3289,3373
956.38947,4680,5006,3313,3384
966.0351,4700,5033,3348,3405
975.67548,4694,5005,3348,3387
985.31061,4690,4981,3341,3374
994.94055,4694,4981,3366,3383
1004.56531,4690,4965,3372,3382
1014.18488,4690,4955,3379,3378
1023.79919,4702,4958,3399,3381
1033.40833,4713,4963,3416,3384
1043.01221,4721,4960,3434,3399
1052.61096,4744,4976,3452,3409
1062.20447,4735,4973,3465,3412
1071.79272,4731,4956,3469,3406
1081.37573,4715,4935,3470,3402
1090.95361,4735,4950,3498,3423
1100.52625,4746,4958,3517,3439
1110.09375,4733,4942,3530,3440
1119.65601,4754,4956,3533,3481
1129.21301,4812,5000,3573,3478
1138.76477,4789,4995,3590,3484
1148.3114,4788,4989,3609,3510
1157.85278,4833,5027,3655,3530
1167.38904,4860,5061,3694,3553
1176.91992,4856,5057,3707,3563
1186.4458,4886,5074,3737,3571
1195.96631,4903,5091,3772,3598
1205.48169,4912,5109,3793,3609
1214.99182,4932,5126,3813,3641
1224.4967,4959,5167,3850,3666
1233.99646,4965,5170,3873,3691
1243.49097,5006,5213,3916,3728
1252.98022,5071,5260,3960,3782
1262.46436,5127,5337,4038,3855
1252.77295,5234,5430,4065,3927
1262.74573,5288,5484,4076,4054
1272.71826,5445,5585,4132,4103
1282.69055,5707,5839,4356,4181
1292.66248,5826,6180,4723,4308
1302.63428,5883,6316,4925,4531
1312.60583,6210,6689,5237,4624
1322.57715,7071,5444,4172,5570
1332.5481,6223,8879,5110,4581
1342.51892,6312,6703,5109,4543
1352.4895,6567,7324,5919,3814
1412.30786,5763,5997,4649,4429
1422.27673,5507,5634,4368,4253
1432.24536,5502,5558,4272,4176
1442.21375,5488,5613,4219,4155
1452.18188,5384,5497,4179,4075
1462.1499,5033,5248,3899,4040
1472.11755,5062,5165,3916,3913
1482.08496,5034,5160,3932,3856
1492.05212,5039,5185,3969,3862
1502.01904,5063,5186,4010,3847
1511.98584,5054,5202,4051,3841
1521.95227,5064,5206,4069,3814
1531.91846,5022,5176,4108,3784
1541.88452,5063,5197,4166,3792
1551.85022,5053,5210,4099,3812
1561.81567,5024,5252,4213,3782
1571.78101,5073,5243,4106,3867
1581.74597,5078,5238,4108,3857
1591.71082,5068,5213,4094,3859
1601.67529,5068,5232,4111,3865
1611.63965,5081,5235,4096,3861
1621.60364,5072,5245,4113,3864
1631.5675,5078,5246,4128,3882
1641.53101,5105,5246,4142,3882
1651.49438,5098,5247,4146,3885
1661.45752,5086,5236,4104,3879
1671.42029,5070,5227,4127,3883
1681.38293,5094,5230,4127,3881
1691.34534,5044,5223,4105,3881
1701.30737,5054,5191,4102,3874
1711.26929,5035,5175,4094,3858
1721.23096,4997,5141,4063,3850
1731.19238,4941,5095,4000,3840
1741.15344,4957,5026,3944,3846
1751.11438,4865,5024,3914,3845
1761.07507,4880,5043,3920,3879
1771.03552,5005,5172,4038,3973
1780.99573,5364,5567,4333,4225
1790.95569,5463,5673,4443,4255
1800.91541,5595,5847,4553,4329
1810.87488,5835,5990,4646,4431
1820.83411,6441,6498,4936,4552
1926.29846,5646,5685,4608,4261
1936.34607,5364,5320,4425,4088
1946.39148,5037,5015,4275,4006
1956.43457,4940,4978,4227,4009
1966.47534,4889,4945,4166,3918
1976.51379,4606,4678,3908,3681
1986.55005,4609,4661,3873,3656
1996.58386,4580,4677,3850,3665
2006.61536,4594,4625,3873,3790
2016.64465,4557,4689,3844,3769
2026.67163,4636,4737,3852,3761
2036.69617,4678,4775,3854,3754
2046.71863,4636,4760,3820,3752
2056.73877,4576,4715,3804,3754
2066.75635,4527,4661,3750,3710
2076.77173,4503,4652,3730,3679
2086.78491,4488,4634,3698,3656
2096.79565,4423,4576,3644,3623
2106.8042,4291,4489,3514,3588
2116.8103,4155,4385,3402,3526
2126.81421,4079,4314,3314,3516
2136.81567,3991,4245,3215,3506
2146.81494,3874,4195,3137,3471
2156.81201,3751,4149,3058,3467
2166.80664,3716,4074,3041,3473
2176.79907,3706,4043,3037,3464
2186.78906,3695,4040,3100,3418
2196.77661,3714,4034,3201,3414
2206.76221,3638,3998,3174,3429
2216.74536,3793,4037,3262,3382
2226.72607,3933,4085,3334,3364
2236.70459,3999,4116,3405,3344
2246.68066,4020,4117,3437,3341
2256.65454,4023,4147,3443,3350
2266.62622,4021,4121,3434,3315
2276.59546,3974,4104,3427,3246
2286.5625,3959,4088,3413,3230
2296.5271,3896,4059,3375,3204
2306.4895,3837,3984,3294,3179
2316.44946,3759,3925,3221,3123
2326.40723,3727,3952,3231,3063
2336.36255,3760,3966,3291,3015
2346.31567,3758,3965,3252,2999
2356.2666,3700,3949,3242,3029
2366.21509,3662,3905,3150,3019
2376.16113,3535,3808,3044,3071
2386.10522,3416,3767,2897,3057
2396.04663,3362,3628,2843,2952
2405.98608,3293,3556,2775,2951
2415.9231,3223,3405,2681,2850
2425.85767,3120,3375,2618,2827
2435.79004,3078,3280,2546,2738
2445.71997,3009,3239,2545,2756
2455.64771,2938,3201,2505,2670
2465.57324,2916,3161,2487,2635
2475.49634,2931,3140,2506,2599
2485.41724,2906,3143,2507,2591
2495.33569,2923,3155,2469,2596
