wav,reflec
3.53E-01,0.0296
3.57E-01,0.0295
3.61E-01,0.0288
3.64E-01,0.0289
3.67E-01,0.0293
3.70E-01,0.0284
3.73E-01,0.029
3.76E-01,0.0285
3.79E-01,0.0288
3.81E-01,0.029
3.83E-01,0.0283
3.85E-01,0.0295
3.87E-01,0.0291
3.89E-01,0.0295
3.91E-01,0.0289
3.93E-01,0.0289
3.95E-01,0.0289
3.97E-01,0.0293
3.99E-01,0.0301
4.01E-01,0.0302
4.03E-01,0.0305
4.05E-01,0.0306
4.07E-01,0.0311
4.09E-01,0.0318
4.11E-01,0.0318
4.13E-01,0.033
4.16E-01,0.0334
4.19E-01,0.0345
4.22E-01,0.0343
4.25E-01,0.035
4.28E-01,0.0351
4.31E-01,0.0353
4.34E-01,0.0358
4.37E-01,0.0356
4.40E-01,0.0358
4.43E-01,0.0359
4.46E-01,0.0358
4.49E-01,0.0361
4.51E-01,0.0363
4.53E-01,0.0363
4.55E-01,0.0365
4.57E-01,0.0359
4.59E-01,0.0358
4.61E-01,0.0359
4.63E-01,0.0372
4.65E-01,0.0367
4.67E-01,0.0361
4.69E-01,0.0375
4.71E-01,0.0365
4.73E-01,0.0368
4.75E-01,0.0365
4.77E-01,0.0364
4.79E-01,0.0362
4.81E-01,0.0375
4.83E-01,0.0365
4.85E-01,0.0371
4.87E-01,0.0365
4.89E-01,0.0364
4.91E-01,0.0369
4.93E-01,0.0372
4.95E-01,0.0373
4.97E-01,0.0385
4.99E-01,0.0378
5.01E-01,0.0391
5.03E-01,0.0392
5.05E-01,0.0405
5.07E-01,0.0413
5.09E-01,0.0424
5.11E-01,0.0452
5.13E-01,0.047
5.15E-01,0.0505
5.17E-01,0.0537
5.19E-01,0.0584
5.21E-01,0.0623
5.23E-01,0.0681
5.25E-01,0.0735
5.27E-01,0.0774
5.29E-01,0.0819
5.31E-01,0.0859
5.33E-01,0.0898
5.35E-01,0.0914
5.37E-01,0.0929
5.39E-01,0.0946
5.41E-01,0.0944
5.43E-01,0.0952
5.45E-01,0.0965
5.47E-01,0.0956
5.49E-01,0.0971
5.51E-01,0.0976
5.53E-01,0.0977
5.55E-01,0.0984
5.57E-01,0.0972
5.59E-01,0.0951
5.61E-01,0.0927
5.63E-01,0.091
5.65E-01,0.0877
5.67E-01,0.0851
5.69E-01,0.0808
5.71E-01,0.0769
5.73E-01,0.0743
5.75E-01,0.0709
5.77E-01,0.0689
5.79E-01,0.0656
5.81E-01,0.0648
5.83E-01,0.0625
5.85E-01,0.0614
5.87E-01,0.0596
5.89E-01,0.0599
5.91E-01,0.059
5.93E-01,0.0568
5.95E-01,0.056
5.97E-01,0.0561
5.99E-01,0.0568
6.01E-01,0.0564
6.03E-01,0.0551
6.04E-01,0.055
6.06E-01,0.0538
6.08E-01,0.0537
6.09E-01,0.0537
6.11E-01,0.0517
6.12E-01,0.0517
6.14E-01,0.0503
6.16E-01,0.0499
6.17E-01,0.0492
6.19E-01,0.0482
6.20E-01,0.0477
6.22E-01,0.0465
6.24E-01,0.0469
6.25E-01,0.0466
6.27E-01,0.0465
6.28E-01,0.0463
6.30E-01,0.0459
6.32E-01,0.0459
6.34E-01,0.0455
6.36E-01,0.0453
6.38E-01,0.0457
6.40E-01,0.044
6.42E-01,0.0433
6.44E-01,0.0422
6.46E-01,0.0419
6.48E-01,0.0406
6.50E-01,0.0404
6.52E-01,0.0406
6.54E-01,0.0397
6.56E-01,0.0403
6.58E-01,0.0389
6.60E-01,0.038
6.62E-01,0.0379
6.64E-01,0.0372
6.66E-01,0.0366
6.68E-01,0.0377
6.70E-01,0.0358
6.73E-01,0.0358
6.76E-01,0.0349
6.79E-01,0.0356
6.82E-01,0.0352
6.85E-01,0.0366
6.88E-01,0.0382
6.91E-01,0.0419
6.94E-01,0.0491
6.97E-01,0.0661
7.00E-01,0.088
7.02E-01,0.104
7.04E-01,0.124
7.06E-01,0.142
7.08E-01,0.163
7.10E-01,0.183
7.12E-01,0.204
7.14E-01,0.225
7.16E-01,0.246
7.18E-01,0.27
7.20E-01,0.293
7.22E-01,0.317
7.24E-01,0.342
7.26E-01,0.365
7.28E-01,0.389
7.30E-01,0.414
7.32E-01,0.438
7.34E-01,0.461
7.36E-01,0.481
7.38E-01,0.501
7.40E-01,0.52
7.42E-01,0.537
7.44E-01,0.551
7.46E-01,0.565
7.48E-01,0.576
7.51E-01,0.588
7.54E-01,0.6
7.57E-01,0.611
7.60E-01,0.617
7.62E-01,0.622
7.66E-01,0.627
7.69E-01,0.629
7.71E-01,0.632
7.75E-01,0.634
7.78E-01,0.634
7.81E-01,0.637
7.85E-01,0.637
7.89E-01,0.637
7.93E-01,0.639
7.97E-01,0.639
8.02E-01,0.638
8.07E-01,0.64
8.12E-01,0.64
8.17E-01,0.639
8.22E-01,0.64
8.28E-01,0.641
8.35E-01,0.642
8.43E-01,0.641
8.51E-01,0.644
8.59E-01,0.647
8.71E-01,0.644
8.83E-01,0.646
8.94E-01,0.644
9.04E-01,0.643
9.14E-01,0.639
9.24E-01,0.638
9.33E-01,0.637
9.41E-01,0.634
9.49E-01,0.628
9.57E-01,0.626
9.64E-01,0.62
9.70E-01,0.62
9.76E-01,0.619
9.82E-01,0.617
9.88E-01,0.618
9.94E-01,0.617
1.00E+00,0.619
1.01E+00,0.619
1.01E+00,0.621
1.02E+00,0.621
1.02E+00,0.627
1.03E+00,0.626
1.03E+00,0.628
1.04E+00,0.626
1.04E+00,0.628
1.05E+00,0.628
1.05E+00,0.628
1.06E+00,0.631
1.06E+00,0.63
1.07E+00,0.63
1.07E+00,0.63
1.08E+00,0.627
1.08E+00,0.628
1.09E+00,0.629
1.09E+00,0.627
1.10E+00,0.625
1.10E+00,0.625
1.11E+00,0.623
1.11E+00,0.624
1.12E+00,0.622
1.12E+00,0.622
1.13E+00,0.618
1.13E+00,0.615
1.14E+00,0.607
1.14E+00,0.598
1.15E+00,0.589
1.15E+00,0.583
1.16E+00,0.579
1.16E+00,0.573
1.17E+00,0.57
1.17E+00,0.57
1.18E+00,0.566
1.18E+00,0.566
1.19E+00,0.565
1.19E+00,0.565
1.20E+00,0.562
1.20E+00,0.563
1.21E+00,0.563
1.21E+00,0.564
1.22E+00,0.566
1.22E+00,0.567
1.23E+00,0.569
1.23E+00,0.57
1.24E+00,0.57
1.24E+00,0.572
1.25E+00,0.572
1.25E+00,0.573
1.26E+00,0.575
1.26E+00,0.574
1.27E+00,0.574
1.27E+00,0.575
1.28E+00,0.573
1.28E+00,0.572
1.29E+00,0.57
1.29E+00,0.568
1.30E+00,0.565
1.30E+00,0.563
1.31E+00,0.558
1.31E+00,0.554
1.32E+00,0.548
1.32E+00,0.54
1.33E+00,0.532
1.33E+00,0.523
1.34E+00,0.515
1.34E+00,0.505
1.35E+00,0.496
1.35E+00,0.491
1.36E+00,0.483
1.36E+00,0.477
1.37E+00,0.467
1.37E+00,0.453
1.38E+00,0.435
1.38E+00,0.413
1.39E+00,0.375
1.39E+00,0.34
1.40E+00,0.301
1.40E+00,0.266
1.41E+00,0.241
1.41E+00,0.222
1.42E+00,0.209
1.42E+00,0.198
1.43E+00,0.189
1.43E+00,0.184
1.44E+00,0.181
1.44E+00,0.18
1.45E+00,0.177
1.45E+00,0.177
1.46E+00,0.178
1.46E+00,0.177
1.47E+00,0.18
1.47E+00,0.186
1.48E+00,0.192
1.48E+00,0.198
1.49E+00,0.205
1.49E+00,0.213
1.50E+00,0.219
1.50E+00,0.227
1.51E+00,0.235
1.51E+00,0.242
1.52E+00,0.252
1.52E+00,0.261
1.53E+00,0.269
1.53E+00,0.277
1.54E+00,0.285
1.55E+00,0.295
1.55E+00,0.302
1.56E+00,0.31
1.56E+00,0.319
1.57E+00,0.324
1.58E+00,0.332
1.58E+00,0.338
1.59E+00,0.346
1.60E+00,0.351
1.61E+00,0.358
1.61E+00,0.362
1.62E+00,0.367
1.63E+00,0.372
1.63E+00,0.375
1.64E+00,0.378
1.65E+00,0.381
1.65E+00,0.382
1.66E+00,0.382
1.67E+00,0.385
1.68E+00,0.381
1.68E+00,0.375
1.69E+00,0.378
1.70E+00,0.376
1.71E+00,0.369
1.72E+00,0.362
1.72E+00,0.357
1.73E+00,0.352
1.74E+00,0.349
1.75E+00,0.348
1.76E+00,0.343
1.76E+00,0.336
1.77E+00,0.328
1.78E+00,0.324
1.79E+00,0.325
1.80E+00,0.321
1.80E+00,0.323
1.81E+00,0.323
1.82E+00,0.322
1.83E+00,0.321
1.84E+00,0.317
1.85E+00,0.298
1.86E+00,0.262
1.88E+00,0.21
1.89E+00,0.142
1.90E+00,0.0847
1.91E+00,0.0585
1.92E+00,0.0447
1.93E+00,0.0434
1.93E+00,0.0409
1.94E+00,0.0478
1.95E+00,0.048
1.96E+00,0.0513
1.98E+00,0.0583
1.99E+00,0.0649
2.00E+00,0.0728
2.01E+00,0.0798
2.02E+00,0.0854
2.03E+00,0.0947
2.04E+00,0.103
2.05E+00,0.111
2.06E+00,0.115
2.07E+00,0.125
2.08E+00,0.131
2.09E+00,0.139
2.10E+00,0.146
2.11E+00,0.155
2.12E+00,0.158
2.13E+00,0.164
2.14E+00,0.174
2.15E+00,0.174
2.16E+00,0.176
2.17E+00,0.18
2.18E+00,0.182
2.18E+00,0.188
2.19E+00,0.192
2.21E+00,0.192
2.22E+00,0.196
2.23E+00,0.196
2.24E+00,0.192
2.25E+00,0.188
2.26E+00,0.182
2.27E+00,0.169
2.28E+00,0.161
2.29E+00,0.169
2.30E+00,0.165
2.31E+00,0.163
2.32E+00,0.144
2.33E+00,0.133
2.34E+00,0.133
2.35E+00,0.125
2.36E+00,0.12
2.37E+00,0.117
2.38E+00,0.115
2.39E+00,0.104
2.40E+00,0.0988
2.42E+00,0.0834
2.44E+00,0.0736
2.47E+00,0.0615
2.50E+00,0.0494
2.53E+00,0.044
2.56E+00,0.0456
2.59E+00,0.041
